1,2026-05-10 23:30:35,2,5.61
2,2026-05-10 23:40:33,2,5.32
2,2026-05-10 23:41:14,2,5.71
543,2026-05-10 23:45:53,6,34.11
a,2026-05-11 00:32:42,2,16.55
6,2026-05-11 00:42:27,3,7.18
6,2026-05-11 00:48:25,1,0.00
阿,2026-05-11 19:35:28,4,39.44
67,2026-05-11 19:45:27,3,4.13
65,2026-05-11 19:54:53,1,0.00
9,2026-05-11 20:10:18,1,0.00
464,2026-05-11 20:14:05,1,0.00
464,2026-05-11 20:15:43,2,4.02
6,14:44:29,1,0
1,2026-05-15 14:52:31,1,0.00
1,2026-05-15 14:53:55,9,28.71
1,2026-05-15 16:39:32,1,0.00
1,2026-05-15 16:40:13,5,12.46
3,2026-05-16 13:18:19,2,2.59
asd,2026-05-16 13:20:17,1,0.00
65,2026-05-16 13:22:08,1,0.00
p,2026-05-16 13:57:44,5,23.33
o,2026-05-16 15:32:31,2,2.12
3,2026-05-16 20:53:21,1,0.00
